fid,districtID,districtID_old,nameID,district_en,provinceID,province,islandID,island,district_bahasa,gs_2010,gs_2011,gs_2012,gs_2013,gs_2014,gs_2015,gs_2016,gs_2017,gs_2018,gs_2019,gs_2020,gs_2021,gs_2022,gs_2023,gs_2024,gs_2025
77,1402,1402,indragirihulu,Indragiri Hulu,14,Riau,1,Sumatera,Indragiri Hulu,810.59,857.82,870.42,922.57,917.47,948.69,970.29,979.02,980.5,1023.91,940.77,952.44,973.02,954.64,988.1,988.43
78,1403,1403,indragirihilir,Indragiri Hilir,14,Riau,1,Sumatera,Indragiri Hilir,1086.42,1130.24,1144.81,1195.19,1170.11,1201.82,1221.17,1225.01,1237.26,1266,1157.36,1158.41,1177.4,1238.33,1303.05,1304.81
79,1404,1404,pelalawan,Pelalawan,14,Riau,1,Sumatera,Pelalawan,668.09,707.52,715.33,768.31,759.16,783.49,800.57,807.93,809.61,843.05,767.49,770.49,802.71,863.79,909.63,909.8
80,1405,1405,siak,Siak,14,Riau,1,Sumatera,Siak,1045.38,1114.24,1132.29,1240.37,1211.8,1254.36,1278.84,1289.3,1291.49,1335.92,1240.68,1250.97,1307.99,1410.39,1510.39,1473.04
81,1406,1406,kampar,Kampar,14,Riau,1,Sumatera,Kampar,1375.25,1468.25,1481.32,1609.11,1616.95,1706.49,1739.32,1797.11,1846.57,1928.07,1737.68,1637.73,1652.53,1739.42,1869.45,1871.99
82,1407,1407,rokanhulu,Rokan Hulu,14,Riau,1,Sumatera,Rokan Hulu,776.02,813.5,824.16,883.99,880.35,910.16,930.25,935.98,940.38,966.05,877.85,830.27,839.24,838.89,885.08,900.81
83,1408,1408,bengkalis,Bengkalis,14,Riau,1,Sumatera,Bengkalis,1574.99,1717.42,1737.05,1857.43,1802.45,1919.66,1954.45,1962.9,1974.65,2025.88,1761.74,1651.43,1778.78,1900.2,1873.34,1908.55
84,1409,1409,rokanhilir,Rokan Hilir,14,Riau,1,Sumatera,Rokan Hilir,1040.9,1103.24,1114.82,1166.06,1141.97,1164.81,1184.74,1192.56,1203.69,1299.27,1189.95,1128.28,1156.77,1225.66,1315.27,1297.19
85,1410,1410,kepulauanmeranti,Meranti Islands,14,Riau,1,Sumatera,Kepulauan Meranti,322.72,344.34,348.94,365.26,364.91,372.43,375.45,384.55,400.4,413.81,376.03,367.58,379.48,395.05,424.18,425.67
86,1471,1471,kotapekanbaru,Pekanbaru City,14,Riau,1,Sumatera,Kota Pekanbaru,5216.13,5506.29,5537.98,6005.83,5868.76,5971.46,5746.33,5786.55,5813.75,5964.91,5474.18,5225.48,5490.7,5686.82,5872.41,5795.05
